Brand,Processor,RAM (GB),Screen Size (inch),Battery Life (hours),Weight (kg),Operating System,Storage_Type,Storage_Capacity,Resolution_Type,GPU_Model,Price_THB
Apple,AMD Ryzen 3,64.0,17.3,8.9,1.42,FreeDOS,SSD,512.0,2K,GTX 1650,139897.45
Razer,AMD Ryzen 7,4.0,14.0,9.4,2.57,Linux,SSD,1.0,HD,RTX 3080,47452.299999999996
Asus,Intel i5,32.0,13.3,8.5,1.74,FreeDOS,SSD,2.0,4K,RTX 3060,93557.45000000001
Lenovo,Intel i5,4.0,13.3,10.5,3.1,Windows,SSD,256.0,HD,RTX 3080,26290.949999999997
Razer,Intel i3,4.0,16.0,5.7,3.38,Linux,SSD,256.0,4K,RX 6600,72094.05
Acer,AMD Ryzen 3,64.0,14.0,7.1,1.85,Linux,SSD,2.0,HD,RTX 3060,58682.4
Dell,Intel i5,8.0,15.6,9.1,1.98,Windows,SSD,1.0,2K,RTX 2060,50716.75
Microsoft,AMD Ryzen 9,8.0,17.3,9.8,1.26,Linux,SSD,1.0,2K,RTX 3080,76774.25
Apple,Intel i5,64.0,15.6,11.5,1.48,Linux,SSD,256.0,4K,RTX 2060,224316.05
HP,AMD Ryzen 5,4.0,14.0,7.5,2.19,FreeDOS,SSD,1.0,4K,RX 6800,54485.200000000004
Razer,Intel i9,8.0,16.0,6.4,2.53,Windows,SSD,256.0,HD,GTX 1650,71553.3
Razer,Intel i5,32.0,16.0,8.3,1.21,Windows,HDD,1.0,Full HD,RX 6800,71144.15000000001
Lenovo,Intel i5,4.0,16.0,9.3,2.97,Windows,SSD,256.0,4K,RTX 2060,61951.75
Acer,AMD Ryzen 3,16.0,15.6,10.9,2.02,Windows,SSD,512.0,Full HD,,22048.600000000002
Samsung,Intel i3,32.0,15.6,11.8,2.95,macOS,SSD,256.0,2K,RTX 3060,66815.7
MSI,Intel i7,8.0,13.3,7.8,3.34,macOS,SSD,512.0,Full HD,,34376.65
Razer,AMD Ryzen 3,16.0,17.3,11.6,3.11,macOS,SSD,1.0,4K,RTX 3080,84455.0
Microsoft,AMD Ryzen 9,4.0,17.3,8.3,1.48,Linux,SSD,2.0,Full HD,RX 6800,55496.0
Razer,Intel i5,32.0,14.0,10.0,3.4,FreeDOS,SSD,512.0,Full HD,GTX 1650,76690.59999999999
HP,AMD Ryzen 9,16.0,16.0,7.2,2.17,FreeDOS,HDD,,HD,RTX 3060,62259.399999999994
Dell,Intel i7,64.0,17.3,6.4,2.48,FreeDOS,SSD,256.0,Full HD,RX 6600,115896.90000000001
Acer,AMD Ryzen 7,16.0,15.6,11.4,3.05,Linux,SSD,1.0,Full HD,RX 6600,60701.2
Dell,AMD Ryzen 3,8.0,13.3,7.0,1.7,Linux,HDD,1.0,2K,GTX 1650,30747.5
Dell,Intel i5,8.0,13.3,11.9,2.53,macOS,HDD,1.0,2K,,29071.7
Apple,Intel i9,64.0,17.3,6.9,2.55,Windows,SSD,256.0,Full HD,,155003.80000000002
HP,AMD Ryzen 7,8.0,14.0,4.4,1.6,macOS,SSD,512.0,2K,RTX 3060,52647.0
Asus,AMD Ryzen 9,64.0,13.3,6.2,2.58,macOS,SSD,512.0,Full HD,RX 6600,136774.05
Microsoft,AMD Ryzen 9,8.0,13.3,9.9,3.11,Windows,SSD,1.0,HD,,34175.049999999996
,AMD Ryzen 5,64.0,16.0,9.3,2.31,macOS,SSD,512.0,2K,RX 6600,115013.85
Dell,AMD Ryzen 3,4.0,15.6,5.4,1.95,Windows,SSD,1.0,HD,GTX 1650,29109.15
Samsung,Intel i7,32.0,15.6,11.5,2.32,FreeDOS,SSD,1.0,2K,RX 6800,100381.4
Lenovo,AMD Ryzen 9,32.0,17.3,11.4,1.7,Linux,SSD,1.0,2K,RTX 3060,125448.75
HP,Intel i3,64.0,16.0,4.9,1.99,Linux,SSD,512.0,HD,RX 6600,65744.0
Dell,AMD Ryzen 5,32.0,15.6,9.1,3.01,,SSD,2.0,Full HD,,64197.35
MSI,Intel i3,64.0,15.6,8.3,3.47,Linux,SSD,1.0,2K,RTX 2060,118680.8
Acer,AMD Ryzen 5,8.0,15.6,6.2,1.68,Linux,SSD,512.0,4K,RX 6800,67305.7
Samsung,AMD Ryzen 9,32.0,14.0,5.4,2.6,macOS,SSD,2.0,Full HD,RTX 3060,91046.20000000001
Dell,AMD Ryzen 9,32.0,13.3,7.2,3.32,FreeDOS,SSD,2.0,Full HD,RX 6800,96966.8
MSI,Intel i9,16.0,13.3,7.5,2.08,macOS,SSD,1.0,Full HD,GTX 1650,88070.84999999999
Microsoft,Intel i3,8.0,15.6,5.0,3.48,,SSD,2.0,2K,RTX 2060,37908.85
Samsung,Intel i9,32.0,16.0,7.6,1.32,FreeDOS,SSD,1.0,4K,,116336.15
Asus,AMD Ryzen 5,4.0,16.0,11.6,3.38,FreeDOS,SSD,512.0,4K,GTX 1650,61566.4
Dell,AMD Ryzen 5,4.0,13.3,8.0,2.69,macOS,SSD,1.0,Full HD,RTX 3060,34656.299999999996
Apple,Intel i9,32.0,17.3,5.7,1.83,Windows,SSD,2.0,2K,GTX 1650,188075.65
Acer,Intel i7,16.0,16.0,6.6,3.39,Linux,SSD,256.0,2K,,46641.7
Microsoft,AMD Ryzen 3,32.0,16.0,11.3,1.83,FreeDOS,SSD,512.0,HD,GTX 1650,40635.7
Lenovo,Intel i5,16.0,16.0,10.0,2.07,macOS,SSD,1.0,4K,GTX 1650,78960.7
MSI,Intel i9,16.0,17.3,10.3,3.16,Windows,SSD,1.0,4K,,109068.4
Acer,AMD Ryzen 9,16.0,14.0,4.5,2.09,FreeDOS,SSD,2.0,2K,,61200.299999999996
Asus,Intel i5,64.0,14.0,10.3,1.4,Windows,SSD,512.0,Full HD,RTX 3060,88252.5
HP,AMD Ryzen 9,32.0,16.0,9.6,3.2,FreeDOS,SSD,1.0,2K,RTX 2060,122275.65000000001
HP,AMD Ryzen 7,16.0,17.3,11.1,2.2,macOS,SSD,512.0,HD,RTX 3060,45453.8
HP,AMD Ryzen 5,64.0,16.0,5.9,3.24,FreeDOS,SSD,512.0,2K,,79830.45
